tick,servidor,tipo,mensagem,timestamp
83,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0019 ENTROU substituindo Server-A-VEN0276,1765574674.394209
87,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0303 (suporte) FALHOU,1765574674.4389985
87,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0020 ENTROU substituindo Server-A-SUP0303,1765574674.4389985
88,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0296 (suporte) FALHOU,1765574674.4506037
88,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0021 ENTROU substituindo Server-A-SUP0296,1765574674.4506037
0,Server-B,INICIO,Servidor iniciado com PID 16524,1765574675.0824883
0,Server-C,INICIO,Servidor iniciado com PID 14028,1765574676.5495589
88,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0317 (suporte) FALHOU,1765574674.4506037
1,Server-B,FALHA_ATENDENTE,Atendente Server-B-SUP0437 (suporte) FALHOU,1765574675.0824883
88,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0022 ENTROU substituindo Server-A-SUP0317,1765574674.4506037
1,Server-C,FALHA_ATENDENTE,Atendente Server-C-SUP0694 (suporte) FALHOU,1765574676.5495589
1,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-SUP0000 ENTROU substituindo Server-B-SUP0437,1765574675.0824883
95,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0081 (vendas) FALHOU,1765574674.5301964
1,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-SUP0000 ENTROU substituindo Server-C-SUP0694,1765574676.5495589
2,Server-B,FALHA_ATENDENTE,Atendente Server-B-SUP0276 (suporte) FALHOU,1765574675.098968
95,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0023 ENTROU substituindo Server-A-VEN0081,1765574674.5301964
3,Server-C,FALHA_ATENDENTE,Atendente Server-C-VEN0670 (vendas) FALHOU,1765574676.578086
2,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-VEN0001 ENTROU substituindo Server-B-SUP0276,1765574675.098968
95,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0206 (suporte) FALHOU,1765574674.5301964
3,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-VEN0001 ENTROU substituindo Server-C-VEN0670,1765574676.578086
3,Server-B,FALHA_ATENDENTE,Atendente Server-B-VEN0075 (vendas) FALHOU,1765574675.1106465
95,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0024 ENTROU substituindo Server-A-SUP0206,1765574674.5301964
4,Server-C,FALHA_ATENDENTE,Atendente Server-C-VEN0030 (vendas) FALHOU,1765574676.5903573
3,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-SUP0002 ENTROU substituindo Server-B-VEN0075,1765574675.1106465
98,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0083 (vendas) FALHOU,1765574674.5640874
4,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-SUP0002 ENTROU substituindo Server-C-VEN0030,1765574676.5903573
5,Server-B,FALHA_ATENDENTE,Atendente Server-B-SUP0468 (suporte) FALHOU,1765574675.1330724
98,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0025 ENTROU substituindo Server-A-VEN0083,1765574674.5640874
5,Server-C,FALHA_ATENDENTE,Atendente Server-C-VEN0481 (vendas) FALHOU,1765574676.602825
5,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-VEN0003 ENTROU substituindo Server-B-SUP0468,1765574675.1330724
5,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-VEN0003 ENTROU substituindo Server-C-VEN0481,1765574676.602825
9,Server-B,FALHA_ATENDENTE,Atendente Server-B-SUP0233 (suporte) FALHOU,1765574675.1793644
5,Server-C,FALHA_ATENDENTE,Atendente Server-C-SUP0505 (suporte) FALHOU,1765574676.602825
99,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0011 (suporte) FALHOU,1765574674.5753293
9,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-SUP0004 ENTROU substituindo Server-B-SUP0233,1765574675.1793644
5,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-SUP0004 ENTROU substituindo Server-C-SUP0505,1765574676.602825
99,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0026 ENTROU substituindo Server-A-SUP0011,1765574674.5753293
5,Server-C,FALHA_ATENDENTE,Atendente Server-C-VEN0722 (vendas) FALHOU,1765574676.602825
101,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0077 (vendas) FALHOU,1765574674.598174
10,Server-B,FALHA_ATENDENTE,Atendente Server-B-SUP0436 (suporte) FALHOU,1765574675.1914792
5,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-VEN0005 ENTROU substituindo Server-C-VEN0722,1765574676.602825
101,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0027 ENTROU substituindo Server-A-VEN0077,1765574674.598174
10,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-VEN0005 ENTROU substituindo Server-B-SUP0436,1765574675.1914792
5,Server-C,FALHA_ATENDENTE,Atendente Server-C-SUP0830 (suporte) FALHOU,1765574676.602825
101,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0181 (suporte) FALHOU,1765574674.598174
11,Server-B,FALHA_ATENDENTE,Atendente Server-B-VEN0596 (vendas) FALHOU,1765574675.202921
5,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-SUP0006 ENTROU substituindo Server-C-SUP0830,1765574676.602825
101,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0028 ENTROU substituindo Server-A-SUP0181,1765574674.598174
11,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-SUP0006 ENTROU substituindo Server-B-VEN0596,1765574675.202921
6,Server-C,FALHA_ATENDENTE,Atendente Server-C-SUP0228 (suporte) FALHOU,1765574676.6147454
104,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0099 (vendas) FALHOU,1765574674.6324296
6,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-VEN0007 ENTROU substituindo Server-C-SUP0228,1765574676.6147454
13,Server-B,FALHA_ATENDENTE,Atendente Server-B-VEN0583 (vendas) FALHOU,1765574675.2257433
104,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0029 ENTROU substituindo Server-A-VEN0099,1765574674.6324296
10,Server-C,FALHA_ATENDENTE,Atendente Server-C-SUP0624 (suporte) FALHOU,1765574676.663361
13,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-VEN0007 ENTROU substituindo Server-B-VEN0583,1765574675.2257433
105,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0006 (vendas) FALHOU,1765574674.6444204
10,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-SUP0008 ENTROU substituindo Server-C-SUP0624,1765574676.663361
105,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0030 ENTROU substituindo Server-A-VEN0006,1765574674.6444204
14,Server-B,FALHA_ATENDENTE,Atendente Server-B-SUP0170 (suporte) FALHOU,1765574675.2375274
106,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0136 (suporte) FALHOU,1765574674.656169
14,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-SUP0008 ENTROU substituindo Server-B-SUP0170,1765574675.2375274
11,Server-C,FALHA_ATENDENTE,Atendente Server-C-VEN0529 (vendas) FALHOU,1765574676.6754053
106,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0031 ENTROU substituindo Server-A-SUP0136,1765574674.656169
11,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-VEN0009 ENTROU substituindo Server-C-VEN0529,1765574676.6754053
13,Server-C,FALHA_ATENDENTE,Atendente Server-C-VEN0455 (vendas) FALHOU,1765574676.6990342
14,Server-B,FALHA_ATENDENTE,Atendente Server-B-VEN0487 (vendas) FALHOU,1765574675.2375274
13,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-SUP0010 ENTROU substituindo Server-C-VEN0455,1765574676.6990342
109,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0010 (suporte) FALHOU,1765574674.6904128
14,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-VEN0009 ENTROU substituindo Server-B-VEN0487,1765574675.2375274
14,Server-C,FALHA_ATENDENTE,Atendente Server-C-VEN0122 (vendas) FALHOU,1765574676.7110753
16,Server-B,FALHA_ATENDENTE,Atendente Server-B-VEN0449 (vendas) FALHOU,1765574675.2601087
16,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-SUP0010 ENTROU substituindo Server-B-VEN0449,1765574675.2601087
16,Server-B,FALHA_ATENDENTE,Atendente Server-B-VEN0522 (vendas) FALHOU,1765574675.2601087
109,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0032 ENTROU substituindo Server-A-SUP0010,1765574674.6904128
14,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-VEN0011 ENTROU substituindo Server-C-VEN0122,1765574676.7110753
16,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-VEN0011 ENTROU substituindo Server-B-VEN0522,1765574675.2601087
15,Server-C,FALHA_ATENDENTE,Atendente Server-C-VEN0129 (vendas) FALHOU,1765574676.7230146
15,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-SUP0012 ENTROU substituindo Server-C-VEN0129,1765574676.7230146
17,Server-C,FALHA_ATENDENTE,Atendente Server-C-VEN0092 (vendas) FALHOU,1765574676.745135
109,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0219 (vendas) FALHOU,1765574674.6904128
17,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-VEN0013 ENTROU substituindo Server-C-VEN0092,1765574676.745135
18,Server-B,FALHA_ATENDENTE,Atendente Server-B-VEN0101 (vendas) FALHOU,1765574675.2829728
18,Server-C,FALHA_ATENDENTE,Atendente Server-C-SUP0238 (suporte) FALHOU,1765574676.7563226
18,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-SUP0012 ENTROU substituindo Server-B-VEN0101,1765574675.2829728
109,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0033 ENTROU substituindo Server-A-VEN0219,1765574674.6904128
19,Server-B,FALHA_ATENDENTE,Atendente Server-B-VEN0204 (vendas) FALHOU,1765574675.2944078
110,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0370 (vendas) FALHOU,1765574674.702109
18,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-SUP0014 ENTROU substituindo Server-C-SUP0238,1765574676.7563226
19,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-VEN0013 ENTROU substituindo Server-B-VEN0204,1765574675.2944078
18,Server-C,FALHA_ATENDENTE,Atendente Server-C-SUP0440 (suporte) FALHOU,1765574676.7563226
18,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-VEN0015 ENTROU substituindo Server-C-SUP0440,1765574676.7563226
19,Server-C,FALHA_ATENDENTE,Atendente Server-C-SUP0039 (suporte) FALHOU,1765574676.7677748
110,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0034 ENTROU substituindo Server-A-VEN0370,1765574674.702109
19,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-SUP0016 ENTROU substituindo Server-C-SUP0039,1765574676.7677748
20,Server-B,FALHA_ATENDENTE,Atendente Server-B-VEN0318 (vendas) FALHOU,1765574675.305803
19,Server-C,FALHA_ATENDENTE,Atendente Server-C-SUP0076 (suporte) FALHOU,1765574676.7677748
20,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-SUP0014 ENTROU substituindo Server-B-VEN0318,1765574675.305803
112,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0228 (suporte) FALHOU,1765574674.7248168
20,Server-B,FALHA_ATENDENTE,Atendente Server-B-VEN0574 (vendas) FALHOU,1765574675.305803
112,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0035 ENTROU substituindo Server-A-SUP0228,1765574674.7248168
19,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-VEN0017 ENTROU substituindo Server-C-SUP0076,1765574676.7677748
20,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-VEN0015 ENTROU substituindo Server-B-VEN0574,1765574675.305803
113,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0000 (suporte) FALHOU,1765574674.7363493
19,Server-C,FALHA_ATENDENTE,Atendente Server-C-VEN0220 (vendas) FALHOU,1765574676.7677748
20,Server-B,FALHA_ATENDENTE,Atendente Server-B-RESERVA-VEN0007 (vendas) FALHOU,1765574675.305803
113,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0036 ENTROU substituindo Server-A-SUP0000,1765574674.7363493
113,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0071 (vendas) FALHOU,1765574674.7363493
113,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0037 ENTROU substituindo Server-A-VEN0071,1765574674.7363493
19,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-SUP0018 ENTROU substituindo Server-C-VEN0220,1765574676.7677748
117,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0098 (vendas) FALHOU,1765574674.7818143
20,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-SUP0016 ENTROU substituindo Server-B-RESERVA-VEN0007,1765574675.305803
21,Server-C,FALHA_ATENDENTE,Atendente Server-C-SUP0623 (suporte) FALHOU,1765574676.7907543
117,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0038 ENTROU substituindo Server-A-VEN0098,1765574674.7818143
21,Server-B,FALHA_ATENDENTE,Atendente Server-B-VEN0137 (vendas) FALHOU,1765574675.3176115
21,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-VEN0017 ENTROU substituindo Server-B-VEN0137,1765574675.3176115
21,Server-B,FALHA_ATENDENTE,Atendente Server-B-SUP0531 (suporte) FALHOU,1765574675.3176115
21,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-VEN0019 ENTROU substituindo Server-C-SUP0623,1765574676.7907543
21,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-SUP0018 ENTROU substituindo Server-B-SUP0531,1765574675.3176115
118,Server-A,FALHA_ATENDENTE,Atendente Server-A-RESERVA-SUP0014 (vendas) FALHOU,1765574674.793364
22,Server-C,FALHA_ATENDENTE,Atendente Server-C-VEN0126 (vendas) FALHOU,1765574676.8019826
22,Server-B,FALHA_ATENDENTE,Atendente Server-B-SUP0511 (suporte) FALHOU,1765574675.3293407
118,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0039 ENTROU substituindo Server-A-RESERVA-SUP0014,1765574674.793364
22,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-SUP0020 ENTROU substituindo Server-C-VEN0126,1765574676.8019826
119,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0051 (suporte) FALHOU,1765574674.804782
119,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0040 ENTROU substituindo Server-A-SUP0051,1765574674.804782
121,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0147 (suporte) FALHOU,1765574674.8278058
22,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-VEN0019 ENTROU substituindo Server-B-SUP0511,1765574675.3293407
24,Server-C,FALHA_ATENDENTE,Atendente Server-C-SUP0358 (suporte) FALHOU,1765574676.824341
121,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0041 ENTROU substituindo Server-A-SUP0147,1765574674.8278058
24,Server-B,FALHA_ATENDENTE,Atendente Server-B-VEN0043 (vendas) FALHOU,1765574675.3524694
24,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-VEN0021 ENTROU substituindo Server-C-SUP0358,1765574676.824341
124,Server-A,FALHA_ATENDENTE,Atendente Server-A-RESERVA-VEN0027 (vendas) FALHOU,1765574674.8613546
24,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-SUP0020 ENTROU substituindo Server-B-VEN0043,1765574675.3524694
24,Server-C,FALHA_ATENDENTE,Atendente Server-C-VEN0731 (vendas) FALHOU,1765574676.824341
124,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0042 ENTROU substituindo Server-A-RESERVA-VEN0027,1765574674.8613546
24,Server-B,FALHA_ATENDENTE,Atendente Server-B-SUP0404 (suporte) FALHOU,1765574675.3524694
24,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-SUP0022 ENTROU substituindo Server-C-VEN0731,1765574676.824341
24,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-VEN0021 ENTROU substituindo Server-B-SUP0404,1765574675.3524694
25,Server-B,FALHA_ATENDENTE,Atendente Server-B-RESERVA-SUP0002 (vendas) FALHOU,1765574675.3643062
25,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-SUP0022 ENTROU substituindo Server-B-RESERVA-SUP0002,1765574675.3643062
132,Server-A,FALHA_ATENDENTE,Atendente Server-A-RESERVA-VEN0029 (vendas) FALHOU,1765574674.953429
28,Server-B,FALHA_ATENDENTE,Atendente Server-B-VEN0094 (vendas) FALHOU,1765574675.3984075
25,Server-C,FALHA_ATENDENTE,Atendente Server-C-SUP0097 (suporte) FALHOU,1765574676.83546
132,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0043 ENTROU substituindo Server-A-RESERVA-VEN0029,1765574674.953429
28,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-VEN0023 ENTROU substituindo Server-B-VEN0094,1765574675.3984075
25,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-VEN0023 ENTROU substituindo Server-C-SUP0097,1765574676.83546
135,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0060 (vendas) FALHOU,1765574674.9877186
135,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0044 ENTROU substituindo Server-A-VEN0060,1765574674.9877186
30,Server-B,FALHA_ATENDENTE,Atendente Server-B-SUP0357 (suporte) FALHOU,1765574675.421249
135,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0247 (vendas) FALHOU,1765574674.9877186
30,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-SUP0024 ENTROU substituindo Server-B-SUP0357,1765574675.421249
25,Server-C,FALHA_ATENDENTE,Atendente Server-C-SUP0641 (suporte) FALHOU,1765574676.83546
135,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0045 ENTROU substituindo Server-A-VEN0247,1765574674.9877186
31,Server-B,FALHA_ATENDENTE,Atendente Server-B-VEN0036 (vendas) FALHOU,1765574675.432756
25,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-SUP0024 ENTROU substituindo Server-C-SUP0641,1765574676.83546
25,Server-C,FALHA_ATENDENTE,Atendente Server-C-VEN0714 (vendas) FALHOU,1765574676.83546
25,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-VEN0025 ENTROU substituindo Server-C-VEN0714,1765574676.83546
139,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0187 (suporte) FALHOU,1765574675.032521
26,Server-C,FALHA_ATENDENTE,Atendente Server-C-RESERVA-VEN0017 (suporte) FALHOU,1765574676.8470156
31,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-VEN0025 ENTROU substituindo Server-B-VEN0036,1765574675.432756
26,Server-C,ENTRADA_ATENDENTE,Atendente Server-C-RESERVA-SUP0026 ENTROU substituindo Server-C-RESERVA-VEN0017,1765574676.8470156
139,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0046 ENTROU substituindo Server-A-SUP0187,1765574675.032521
29,Server-C,FALHA_SERVIDOR,FALHA ALEATÓRIA no tick 29,1765574676.8808074
144,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0060 (suporte) FALHOU,1765574675.0882862
31,Server-B,FALHA_ATENDENTE,Atendente Server-B-VEN0082 (vendas) FALHOU,1765574675.432756
144,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0047 ENTROU substituindo Server-A-SUP0060,1765574675.0882862
31,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-SUP0026 ENTROU substituindo Server-B-VEN0082,1765574675.432756
29,Server-C,FAILOVER,Iniciando failover de 0 requisições,1765574676.8808074
34,Server-B,FALHA_ATENDENTE,Atendente Server-B-SUP0223 (suporte) FALHOU,1765574675.4665802
34,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-VEN0027 ENTROU substituindo Server-B-SUP0223,1765574675.4665802
145,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0298 (vendas) FALHOU,1765574675.0996642
35,Server-B,FALHA_ATENDENTE,Atendente Server-B-RESERVA-SUP0024 (suporte) FALHOU,1765574675.4782946
48,Server-C,RECUPERACAO,Servidor RECUPERADO no tick 48,1765574676.9147596
145,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0048 ENTROU substituindo Server-A-VEN0298,1765574675.0996642
35,Server-B,ENTRADA_ATENDENTE,Atendente Server-B-RESERVA-SUP0028 ENTROU substituindo Server-B-RESERVA-SUP0024,1765574675.4782946
146,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0189 (suporte) FALHOU,1765574675.1106465
